"Posterior Mean","Posterior Median","Posterior SD","5% Quantile","95% Quantile","rhat","Effective Sample Size (Bulk)","Effective Sample Size (Tail)","Parameter"
0.18,0.17,0.07,0.09,0.32,1,1173,1907,"NW Anatolian Cattle pi_1"
0.63,0.64,0.09,0.48,0.76,1,1340,2010,"NW Anatolian Cattle pi_2"
0.18,0.18,0.07,0.08,0.29,1,1324,1864,"NW Anatolian Cattle pi_3"
-0.24,-0.24,0.04,-0.29,-0.18,1,1584,1766,"NW Anatolian Cattle mu_1"
-0.2,-0.2,0.03,-0.25,-0.14,1,1475,1676,"NW Anatolian Cattle mu_2"
-0.07,-0.07,0.04,-0.13,0,1,1666,1714,"NW Anatolian Cattle mu_3"
0.07,0.06,0.01,0.05,0.09,1,2851,2949,"NW Anatolian Cattle sigma_1"
0.04,0.04,0.01,0.03,0.06,1,2338,3419,"NW Anatolian Cattle sigma_2"
0.04,0.04,0.01,0.03,0.06,1,1503,2263,"NW Anatolian Cattle sigma_3"
