"Specimen_No","Site_No","Site","Element","p_immature","p_female","p_male"
345,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0.93,0.07
346,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,1,0
347,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_dist",0,0.99,0.01
348,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,1,0
349,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.62,0.38
350,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.09,0.45,0.47
351,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,1,0
352,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.18,0.77,0.04
353,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.02,0.13,0.85
354,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
355,2,"Ilipinar 1 (Late Neolithic/Transitional)","Sca",0.11,0.68,0.21
356,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_prox",0.07,0.87,0.06
357,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.77,0.23
358,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0.92,0.05,0.03
359,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0,1
360,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.9,0.1
361,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.99,0.01
362,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_prox",0.16,0.84,0
363,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.96,0.04
364,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.99,0.01
365,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.52,0.48
366,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.12,0.87,0.01
367,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.58,0.42
368,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.97,0.03
369,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.52,0.48
370,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.91,0.09
371,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.16,0.84,0
372,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.99,0.01
373,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_prox",0.13,0.66,0.22
374,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.07,0.89,0.04
375,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
376,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.99,0.01
377,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_prox",0.55,0.44,0.01
378,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.97,0.03
379,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
380,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.2,0.8,0
381,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.09,0.9,0.01
382,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
383,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
384,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.99,0.01
385,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.02,0.14,0.84
386,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0,0.97,0.03
387,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.05,0.95
388,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.07,0.93,0.01
389,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.09,0.9,0.01
390,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0,0.94,0.06
391,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.06,0.93,0.01
392,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.14,0.86,0
393,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_prox",0.07,0.89,0.04
394,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.06,0.89,0.05
395,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_prox",0.06,0.93,0.01
396,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.98,0.02
397,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_prox",0.06,0.93,0.01
398,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.02,0.03,0.95
399,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.89,0.11
400,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.99,0.01
401,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.99,0.01
402,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_dist",0,0.89,0.11
403,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_dist",0,0.98,0.02
404,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
405,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
406,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.65,0.35
407,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.85,0.15
408,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.19,0.81,0
409,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_prox",0.15,0.79,0.06
410,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.95,0.05
411,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0,1
412,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.05,0.48,0.47
413,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_prox",0.08,0.91,0.01
414,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.47,0.53
415,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_prox",0.06,0.87,0.07
416,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.02,0.05,0.93
417,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.07,0.88,0.06
418,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.1,0.89,0.01
419,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.01,0.01,0.98
420,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.93,0.07
421,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.02,0.05,0.93
422,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
423,4,"Ilipinar 2 (Early Chalcolithic)","Tib_prox",0,0.97,0.03
424,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
425,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_dist",0.62,0.37,0
426,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_dist",0.69,0.31,0
427,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.11,0.73,0.16
428,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.11,0.71,0.18
429,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.99,0.01
430,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.49,0.51
431,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.97,0.03
432,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_prox",0,0.94,0.06
433,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.99,0.01
434,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.95,0.05
435,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.77,0.23
436,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
437,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.98,0.02
438,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.13,0.87,0
439,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.1,0.89,0
440,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0.26,0.72,0.02
441,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0,0.2,0.8
442,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.99,0.01
443,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.06,0.92,0.01
444,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.97,0.03
445,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.97,0.03
446,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
447,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0,1
448,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.98,0.02
449,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.98,0.02
450,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0.97,0.03
451,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
452,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.05,0.93,0.02
453,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.01,0.99
454,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.99,0.01
455,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.01,0.99
456,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
457,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0,1
458,4,"Ilipinar 2 (Early Chalcolithic)","Fem_prox",0,0.99,0.01
459,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.06,0.82,0.12
460,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0,0.08,0.92
461,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.53,0.47
462,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
463,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
464,2,"Ilipinar 1 (Late Neolithic/Transitional)","Fem_prox",0,0.91,0.09
465,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.01,0.01,0.97
466,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.06,0.94,0.01
467,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.03,0.06,0.92
468,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.08,0.6,0.33
469,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.06,0.9,0.05
470,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.06,0.89,0.06
471,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.07,0.92,0
472,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.98,0.02
473,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.99,0.01
474,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.06,0.87,0.07
475,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.06,0.39,0.55
476,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.11,0.88,0.01
477,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.99,0.01
478,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.99,0.01
479,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.99,0.01
480,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.34,0.66
481,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0,1
482,4,"Ilipinar 2 (Early Chalcolithic)","Fem_dist",0.34,0.51,0.15
483,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.97,0.03
484,4,"Ilipinar 2 (Early Chalcolithic)","Tib_prox",0,0.99,0.01
485,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.97,0.03
486,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.23,0.77,0
487,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0.23,0.74,0.02
488,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0.11,0.06,0.83
489,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.09,0.91
490,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_prox",0.02,0.01,0.97
491,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
492,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0.69,0,0.31
493,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.06,0.92,0.01
494,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.12,0.88,0
495,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.12,0.88
496,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.01,0.99
497,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.07,0.57,0.36
498,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
499,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0.22,0.75,0.02
500,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.95,0.05
501,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0.7,0,0.3
502,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.98,0.02
503,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.08,0.48,0.44
504,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.98,0.02
505,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.08,0.91,0.01
506,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.97,0.03
507,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_prox",0.05,0.1,0.84
508,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
509,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.96,0.04
510,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.02,0.98
511,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0,0.28,0.72
512,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.57,0.43
513,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_prox",0.07,0.92,0.01
514,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0.91,0.09
515,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0.61,0.39
516,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.99,0.01
517,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0.86,0.13,0.01
518,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_prox",0.05,0.93,0.02
519,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.99,0.01
520,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.05,0.95
521,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.96,0.04
522,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_prox",0.07,0.9,0.03
523,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.3,0.7
524,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
525,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0,1
526,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
527,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.11,0.89,0
528,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0,1
529,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_prox",0.1,0.89,0.01
530,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.95,0.05
531,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0.93,0.07,0
532,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.06,0.93,0.02
533,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.05,0.93,0.01
534,4,"Ilipinar 2 (Early Chalcolithic)","Fem_prox",0,0.97,0.03
535,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.09,0.91,0.01
536,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.1,0.9,0.01
537,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.01,0.01,0.98
538,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.99,0.01
539,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.06,0.94
540,4,"Ilipinar 2 (Early Chalcolithic)","Fem_prox",0,0.99,0.01
541,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.99,0.01
542,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.05,0.93,0.01
543,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.96,0.04
544,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.06,0.91,0.03
545,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.96,0.04
546,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.97,0.03
547,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_prox",0.06,0.13,0.81
548,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.99,0.01
549,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.99,0.01
550,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.98,0.02
551,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.06,0.86,0.08
552,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.99,0.01
553,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.99,0.01
554,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.98,0.02
555,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_prox",0.11,0.88,0.01
556,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0,0.23,0.77
557,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0.97,0.03
558,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.25,0.74,0
559,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.18,0.8,0.02
560,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_dist",0,0.83,0.17
561,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_dist",0,0.88,0.12
562,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,1,0
563,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.99,0.01
564,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.99,0.01
565,2,"Ilipinar 1 (Late Neolithic/Transitional)","Sca",0.2,0.78,0.03
566,2,"Ilipinar 1 (Late Neolithic/Transitional)","Fem_dist",0,0.71,0.29
567,2,"Ilipinar 1 (Late Neolithic/Transitional)","Sca",0.05,0.56,0.38
568,2,"Ilipinar 1 (Late Neolithic/Transitional)","Sca",0.18,0.76,0.06
569,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
570,3,"Mentese","Ast",0.4,0.59,0
571,3,"Mentese","Ast",0.04,0.21,0.75
572,3,"Mentese","PH1",0.72,0.28,0
573,3,"Mentese","PH2",0,0.99,0.01
574,3,"Mentese","Ast",0.15,0.73,0.11
575,3,"Mentese","Mtc_prox",0.61,0.38,0
576,3,"Mentese","Hum",0,0.99,0.01
577,3,"Mentese","Ast",0.29,0.7,0.01
578,3,"Mentese","PH2",0,0.99,0.01
579,3,"Mentese","PH2",0,0.96,0.04
580,3,"Mentese","PH1",0,0.99,0.01
581,3,"Mentese","Ast",0.06,0.35,0.59
582,3,"Mentese","Ast",0.15,0.73,0.12
583,3,"Mentese","PH2",0,1,0
584,3,"Mentese","PH2",0,0.99,0.01
585,3,"Mentese","PH1",0,0.98,0.02
586,3,"Mentese","Mtt_prox",0.24,0.74,0.02
587,3,"Mentese","PH1",0,0.97,0.03
588,3,"Mentese","PH2",0,0.01,0.99
589,3,"Mentese","Mtc_prox",0.17,0.68,0.15
590,3,"Mentese","PH1",0,0.57,0.43
591,3,"Mentese","PH2",0,1,0
592,3,"Mentese","Mtt_dist",0,0.96,0.04
593,3,"Mentese","PH2",0,1,0
594,3,"Mentese","Cal",0.17,0.35,0.48
595,3,"Mentese","Ast",0.17,0.75,0.09
596,3,"Mentese","Ast",0.21,0.75,0.04
597,3,"Mentese","PH2",0,0.99,0.01
598,3,"Mentese","Ast",0.18,0.75,0.06
599,3,"Mentese","Mtt_dist",0.57,0.42,0.01
600,3,"Mentese","PH2",0,0.99,0.01
601,3,"Mentese","Mtc_prox",0.2,0.76,0.04
602,3,"Mentese","Ast",0.26,0.72,0.02
603,3,"Mentese","Ast",0.1,0.54,0.36
604,3,"Mentese","Ast",0.22,0.75,0.03
605,3,"Mentese","Ast",0.15,0.74,0.11
606,3,"Mentese","Ast",0.04,0.23,0.73
607,3,"Mentese","Ast",0.21,0.75,0.04
608,3,"Mentese","PH1",0.27,0.55,0.18
609,3,"Mentese","PH1",0.04,0.04,0.92
610,3,"Mentese","PH1",0.67,0.33,0
611,3,"Mentese","PH2",0.69,0.31,0
612,3,"Mentese","PH2",0.61,0.38,0.01
613,3,"Mentese","PH2",0.62,0.38,0.01
614,3,"Mentese","PH2",0.63,0.35,0.01
