"Specimen_No","Site_No","Site","Element","p_immature","p_female","p_male"
102,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.89,0.11
103,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
104,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.98,0.02
105,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.99,0.01
106,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.17,0.83,0.01
107,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.09,0.58,0.34
108,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_dist",0,0.91,0.09
109,2,"Ilipinar 1 (Late Neolithic/Transitional)","Hum",0.11,0.76,0.13
110,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.86,0.14
111,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,1,0
112,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.04,0.61,0.35
113,2,"Ilipinar 1 (Late Neolithic/Transitional)","Hum",0.08,0.63,0.29
114,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,1,0
115,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.07,0.62,0.31
116,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_dist",0.65,0.18,0.17
117,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.02,0.06,0.92
118,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,1,0
119,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,1,0
120,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0.54,0.19,0.27
121,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,1,0
122,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_dist",0.77,0.19,0.04
123,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.97,0.03
124,2,"Ilipinar 1 (Late Neolithic/Transitional)","Hum",0.07,0.41,0.52
125,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_prox",0.13,0.76,0.11
126,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.07,0.63,0.3
127,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,1,0
128,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,1,0
129,2,"Ilipinar 1 (Late Neolithic/Transitional)","Sca",0.1,0.65,0.25
130,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_dist",0,0.84,0.16
131,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_dist",0,0.97,0.03
132,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.86,0.14
133,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_prox",0.2,0.78,0.02
134,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
135,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.9,0.1
136,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.61,0.39
137,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.14,0.79,0.06
138,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_dist",0,0.95,0.05
139,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_dist",0,0.98,0.02
140,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0,0.89,0.11
141,2,"Ilipinar 1 (Late Neolithic/Transitional)","Fem_prox",0,0.96,0.04
142,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.96,0.04
143,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.97,0.03
144,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.93,0.07
145,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.97,0.03
146,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.45,0.54,0
147,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.17,0.81,0.02
148,2,"Ilipinar 1 (Late Neolithic/Transitional)","Fem_prox",0.65,0.32,0.03
149,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_dist",0.73,0.17,0.11
150,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0.65,0.32,0.02
151,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.1,0.67,0.23
152,2,"Ilipinar 1 (Late Neolithic/Transitional)","Fem_dist",0,0.85,0.15
153,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0,0.73,0.27
154,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.99,0.01
155,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0,0.92,0.08
156,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.99,0.01
