"Posterior Mean","Posterior Median","Posterior SD","5% Quantile","95% Quantile","rhat","Effective Sample Size (Bulk)","Effective Sample Size (Tail)","Parameter"
0.16,0.16,0.02,0.12,0.19,1,3255,2865,"Multisite Model pi_1"
0.47,0.47,0.06,0.37,0.56,1,2938,2854,"Multisite Model pi_2"
0.38,0.38,0.06,0.28,0.48,1,2925,3047,"Multisite Model pi_3"
-0.1,-0.1,0.04,-0.17,-0.03,1,1357,1893,"Multisite Model mu_1"
-0.08,-0.08,0.04,-0.15,-0.01,1,1365,1867,"Multisite Model mu_2"
-0.01,-0.01,0.04,-0.08,0.07,1,1437,2207,"Multisite Model mu_3"
0.04,0.04,0.01,0.03,0.06,1,4776,3070,"Multisite Model sigma_1"
0.04,0.04,0,0.03,0.05,1,3295,2950,"Multisite Model sigma_2"
0.04,0.04,0.01,0.03,0.04,1,2266,3160,"Multisite Model sigma_3"
