"Element","Measurement"
"Scapula","GLP"
"Humerus","Bd"
"Humerus","BT"
"Radius","Bp"
"Radius","Bd"
"Metacarpus","Bp"
"Metacarpus","Bd"
"Femur","Bd"
"Tibia","Bd"
"Astragalus","Bd"
"Metatarsus","Bp"
"Metatarsus","Bd"
