"Posterior Mean","Posterior Median","Posterior SD","5% Quantile","95% Quantile","rhat","Effective Sample Size (Bulk)","Effective Sample Size (Tail)","Parameter"
0.15,0.15,0.04,0.1,0.22,1,3396,2582,"Single Assemblage Model pi_1"
0.52,0.53,0.09,0.37,0.66,1,2806,3088,"Single Assemblage Model pi_2"
0.32,0.32,0.09,0.18,0.49,1,2419,2169,"Single Assemblage Model pi_3"
-0.1,-0.1,0.02,-0.13,-0.07,1,1260,1630,"Single Assemblage Model mu_1"
-0.08,-0.08,0.02,-0.1,-0.05,1,1118,1421,"Single Assemblage Model mu_2"
-0.01,-0.01,0.02,-0.04,0.02,1,1299,1596,"Single Assemblage Model mu_3"
0.05,0.05,0,0.04,0.06,1,3289,1902,"Single Assemblage Model sigma_1"
0.04,0.04,0,0.04,0.05,1,3076,1396,"Single Assemblage Model sigma_2"
0.04,0.04,0,0.04,0.05,1,3719,2828,"Single Assemblage Model sigma_3"
