"Posterior Mean","Posterior Median","Posterior SD","5% Quantile","95% Quantile","rhat","Effective Sample Size (Bulk)","Effective Sample Size (Tail)","Parameter"
0.89,0.89,0.04,0.82,0.94,1,3681,2645,"Pinarbasi B Sheep pi_1"
0.07,0.07,0.04,0.02,0.14,1,2596,2523,"Pinarbasi B Sheep pi_2"
0.04,0.03,0.03,0.01,0.1,1,2696,2660,"Pinarbasi B Sheep pi_3"
-0.13,-0.13,0.02,-0.16,-0.09,1,1753,2142,"Pinarbasi B Sheep mu_1"
-0.1,-0.09,0.02,-0.13,-0.06,1,1709,1975,"Pinarbasi B Sheep mu_2"
-0.03,-0.03,0.02,-0.07,0.01,1,1800,2043,"Pinarbasi B Sheep mu_3"
0.05,0.05,0,0.04,0.06,1,5443,2963,"Pinarbasi B Sheep sigma_1"
0.05,0.04,0,0.04,0.05,1,5936,2987,"Pinarbasi B Sheep sigma_2"
0.05,0.05,0,0.04,0.05,1,5447,2295,"Pinarbasi B Sheep sigma_3"
