"Posterior Mean","Posterior Median","Posterior SD","5% Quantile","95% Quantile","rhat","Effective Sample Size (Bulk)","Effective Sample Size (Tail)","Parameter"
-0.01,-0.01,0.02,-0.05,0.03,1,2904,3420,"Site 1 mu_3"
0.02,0.02,0.03,-0.03,0.08,1,3140,3047,"Site 2 mu_3"
0.19,0.19,0.03,0.15,0.23,1,1831,2511,"Site 3 mu_3"
-0.23,-0.23,0.02,-0.27,-0.19,1,3576,3343,"Site 4 mu_3"
0.17,0.17,0.02,0.14,0.2,1,2774,3329,"Site 5 mu_3"
-0.06,-0.06,0.03,-0.1,-0.01,1,3188,3353,"Site 6 mu_3"
-0.01,-0.01,0.05,-0.06,0.07,1,3619,3217,"Site 7 mu_3"
0.15,0.14,0.03,0.11,0.2,1,3127,3340,"Site 8 mu_3"
-0.27,-0.27,0.03,-0.31,-0.22,1,2744,3305,"Site 9 mu_3"
0.15,0.16,0.05,0.08,0.21,1,2159,1182,"Site 10 mu_3"
-0.01,-0.01,0.02,-0.04,0.03,1,3470,3394,"Site 11 mu_3"
0,0,0.03,-0.04,0.05,1,3553,3559,"Site 12 mu_3"
0.15,0.15,0.02,0.12,0.19,1,3248,3240,"Site 13 mu_3"
-0.24,-0.24,0.02,-0.27,-0.2,1,3331,3400,"Site 14 mu_3"
0.18,0.18,0.02,0.15,0.21,1,2887,3498,"Site 15 mu_3"
0.04,0.04,0.01,0.03,0.06,1,4266,3321,"Site 1 sigma_1"
0.04,0.04,0.01,0.03,0.06,1,4280,3494,"Site 2 sigma_1"
0.05,0.04,0.01,0.03,0.07,1,4165,3582,"Site 3 sigma_1"
0.04,0.04,0.01,0.03,0.06,1,4368,3482,"Site 4 sigma_1"
0.04,0.04,0.01,0.03,0.06,1,4479,3608,"Site 5 sigma_1"
0.04,0.04,0.01,0.02,0.06,1,4023,3624,"Site 6 sigma_1"
0.04,0.04,0.01,0.03,0.06,1,4212,3481,"Site 7 sigma_1"
0.04,0.04,0.01,0.02,0.06,1,3836,3464,"Site 8 sigma_1"
0.04,0.04,0.01,0.03,0.06,1,4282,3871,"Site 9 sigma_1"
0.04,0.04,0.01,0.02,0.06,1,3347,3434,"Site 10 sigma_1"
0.04,0.04,0.01,0.02,0.06,1,3912,3349,"Site 11 sigma_1"
0.05,0.04,0.01,0.03,0.07,1,4401,3417,"Site 12 sigma_1"
0.05,0.04,0.01,0.03,0.07,1,4424,3095,"Site 13 sigma_1"
0.05,0.04,0.01,0.03,0.07,1,4547,3763,"Site 14 sigma_1"
0.05,0.05,0.01,0.03,0.07,1,4199,3302,"Site 15 sigma_1"
0.04,0.04,0.01,0.03,0.06,1,3000,2738,"Site 1 sigma_2"
