"URI","Label","Project","Project URI","Item Category","Last Updated","Authorship","Latitude (WGS-84)","Longitude (WGS-84)","Geospatial note","Early Date (BCE/CE)","Late Date (BCE/CE)","Context URI","Context (1)","Context (2)","Context (3)","Context (4)","Context (5)","Context (6)","Context (7)","Context (8)","Context (9)","Has Biological Taxonomy [URI]","Has Biological Taxonomy [Label]","Has anatomical identification [URI]","Has anatomical identification [Label]","Has physiological sex determination [URI]","Has physiological sex determination [Label]","Has fusion character [Proximal URI]","Has fusion character [Proximal Label]","Has fusion character [Distal URI]","Has fusion character [Distal Label]","Taxon","Element","Side","Reference","Species Comment","Age Data","Part","Size","Species","Sex","Mesh Size","Year","Retrieval Method","Observer","Retrieval %","Volume","Cutmarks","Fusion stages","Distal Fusion","Comments","Weight","Proximal Fusion","SDO (unfused)","DPA (unfused)","BPC (unfused)","Sample No","Number of Elements","GB","GL","DC","Species Certain","Bp","Age group","GL (unfused)","BPC","Bd","SD","Dp (unfused)","Bp (unfused)","Stratum","LG","GLP","BG","GB (unfused)","LF","HP","Ld","BF","GLm","GL1","Dm","Dl","DPA","Bd (unfused)","Dp","BFp","Dd (unfused)","Dd","LO (unfused)","SBV","DC (unfused)","b measurement","a measurement","H","BPC (unfused/neonate)","GH","LmT","BFd"
"http://opencontext.org/subjects/TESTSPA0000004187","Bone Ref# 2780","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.494320000000000000000","33.018551000000000000000","Best available location data","-6700","-6000","http://opencontext.org/subjects/TESTSPA0000003435","Turkey","Pınarbaşı","Site B","Stratum 5","Turkey","Pınarbaşı","Site B","Stratum 6","Context BBD","http://eol.org/pages/1670; http://eol.org/pages/15580","Equidae; Equus","http://purl.obolibrary.org/obo/UBERON_0003267","tooth of upper jaw","","","","","","","Equus sp.","Maxillary Tooth","NA","2780.0","Equus","Adult","Fragments","5-10 cm","Unknown","?","> 10 mm","PB 95","Floatation","Denise Carruthers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000003737","Bone Ref# 2781","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.494320000000000000000","33.018551000000000000000","Best available location data","-6700","-6000","http://opencontext.org/subjects/TESTSPA0000003435","Turkey","Pınarbaşı","Site B","Stratum 5","Turkey","Pınarbaşı","Site B","Stratum 6","Context BBD","http://eol.org/pages/11021570","Bos primigenius","http://purl.obolibrary.org/obo/UBERON_0001098","incisor tooth","","","","","","","Bos primigenius","Teeth","NA","2781.0","","Adult","Fragments","2-5 cm","primigenius","?","> 10 mm","PB 95","Floatation","Denise Carruthers","","","","","","","10.0","","","","","106.2","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000003788","Bone Ref# 2782","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.494320000000000000000","33.018551000000000000000","Best available location data","-6700","-6000","http://opencontext.org/subjects/TESTSPA0000003435","Turkey","Pınarbaşı","Site B","Stratum 5","Turkey","Pınarbaşı","Site B","Stratum 6","Context BBD","http://eol.org/pages/11021570","Bos primigenius","http://purl.obolibrary.org/obo/UBERON_0003268","tooth of lower jaw","","","","","","","Bos primigenius","Mandibular Tooth","Left","2782.0","","Adult","P4-M3? Fragment","5-10 cm","primigenius","?","> 10 mm","PB 95","Floatation","Denise Carruthers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000003738","Bone Ref# 2783","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.494320000000000000000","33.018551000000000000000","Best available location data","-6700","-6000","http://opencontext.org/subjects/TESTSPA0000003435","Turkey","Pınarbaşı","Site B","Stratum 5","Turkey","Pınarbaşı","Site B","Stratum 6","Context BBD","http://eol.org/pages/11021570","Bos primigenius","http://purl.obolibrary.org/obo/UBERON_0001435","carpal bone","","","","","","","Bos primigenius","Carpal Bone","Right","2783.0","","Adult","Accessory Carpal Bone","2-5 cm","primigenius","?","> 10 mm","PB 95","Floatation","Denise Carruthers","","","Sliced through the centre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000003739","Bone Ref# 2784","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.494320000000000000000","33.018551000000000000000","Best available location data","-6700","-6000","http://opencontext.org/subjects/TESTSPA0000003435","Turkey","Pınarbaşı","Site B","Stratum 5","Turkey","Pınarbaşı","Site B","Stratum 6","Context BBD","http://eol.org/pages/11021570","Bos primigenius","http://purl.obolibrary.org/obo/UBERON_0001435","carpal bone","","","","","","","Bos primigenius","Carpal Bone","Left","2784.0","","Adult","Ulnar Carpal Bone","2-5 cm","primigenius","?","> 10 mm","PB 95","Floatation","Denise Carruthers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000004343","Bone Ref# 2785","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.494320000000000000000","33.018551000000000000000","Best available location data","-6700","-6000","http://opencontext.org/subjects/TESTSPA0000003435","Turkey","Pınarbaşı","Site B","Stratum 5","Turkey","Pınarbaşı","Site B","Stratum 6","Context BBD","http://eol.org/pages/1642","Mammalia","http://purl.obolibrary.org/obo/UBERON_0002412","vertebra","","","","","","","Large Mammal","Vertebrae","NA","2785.0","Large Mammal","Adult","Fragment","2-5 cm","Unknown","?","> 10 mm","PB 95","Floatation","Denise Carruthers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000003740","Bone Ref# 2786","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.494320000000000000000","33.018551000000000000000","Best available location data","-6700","-6000","http://opencontext.org/subjects/TESTSPA0000003435","Turkey","Pınarbaşı","Site B","Stratum 5","Turkey","Pınarbaşı","Site B","Stratum 6","Context BBD","http://eol.org/pages/11021570","Bos primigenius","http://purl.obolibrary.org/obo/UBERON_0000976","humerus","","","http://opencontext.org/vocabularies/open-context-zooarch/prox-epi-fused","Proximal epiphysis fused","","","Bos primigenius","Humerus","Left","2786.0","","Adult","Diaphysis","2-5 cm","primigenius","?","> 10 mm","PB 95","Floatation","Denise Carruthers","","","","","","","11.9","proximal fused","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000004144","Bone Ref# 2787","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.494320000000000000000","33.018551000000000000000","Best available location data","-6700","-6000","http://opencontext.org/subjects/TESTSPA0000003435","Turkey","Pınarbaşı","Site B","Stratum 5","Turkey","Pınarbaşı","Site B","Stratum 6","Context BBD","http://eol.org/pages/1670; http://eol.org/pages/15580","Equidae; Equus","http://purl.obolibrary.org/obo/UBERON_0001450","calcaneus","","","","","","","Equus sp.","Calcaneus","Left","2787.0","Equus","Adult","","2-5 cm","Unknown","?","> 10 mm","PB 95","Floatation","Denise Carruthers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000004188","Bone Ref# 2788","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.494320000000000000000","33.018551000000000000000","Best available location data","-6700","-6000","http://opencontext.org/subjects/TESTSPA0000003435","Turkey","Pınarbaşı","Site B","Stratum 5","Turkey","Pınarbaşı","Site B","Stratum 6","Context BBD","http://eol.org/pages/1670; http://eol.org/pages/15580","Equidae; Equus","http://purl.obolibrary.org/obo/UBERON_0000979","tibia","","","","","","","Equus sp.","Tibia","Right","2788.0","Equus","Adult","","5-10 cm","Unknown","?","> 10 mm","PB 95","Floatation","Denise Carruthers","","","","","","","32.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000006461","Bone Ref# 2789","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.494320000000000000000","33.018551000000000000000","Best available location data","-6700","-6000","http://opencontext.org/subjects/TESTSPA0000003435","Turkey","Pınarbaşı","Site B","Stratum 5","Turkey","Pınarbaşı","Site B","Stratum 6","Context BBD","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0003651; http://purl.obolibrary.org/obo/UBERON_0003653; http://purl.obolibrary.org/obo/UBERON_0013588; http://purl.obolibrary.org/obo/UBERON_0003652","metatarsal bone of digit 2; metatarsal bone of digit 4; fused metatarsal bones 3 and 4; metatarsal bone of digit 3","","","","","","","Ovis/Capra","Metatarsal","NA","2789.0","Ovis/Capra","Fused","","2-5 cm","Unknown","?","> 10 mm","PB 95","Floatation","Denise Carruthers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
