"Element_Portion","Element","ID","Specimen_No","i.Element_Portion","Immature","Site","Taxon","Anatomy","Proximal Fusion","Distal Fusion"
7,"PH1","Barcin Bone 2185",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
16,"Sca","Barcin Bone 2211",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","scapula","",""
16,"Sca","Barcin Bone 2212",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","scapula","","Distal epiphysis unfused"
3,"Mtc_dist","Barcin Bone 2213",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis unfused"
14,"Hum","Barcin Bone 2214",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","","Distal epiphysis fused"
11,"Tib_dist","Barcin Bone 2218",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
18,"Uln","Barcin Bone 2247",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","ulna","",""
2,"Cal","Barcin Bone 2250",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","",""
1,"Ast","Barcin Bone 2253",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
13,"Fem_prox","Barcin Bone 2260",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","femur","",""
6,"Mtt_prox","Barcin Bone 2261",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
8,"PH2","Barcin Bone 2264",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
2,"Cal","Barcin Bone 2304",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","Proximal epiphysis fused",""
16,"Sca","Barcin Bone 2311",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","scapula","",""
16,"Sca","Barcin Bone 2312",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","scapula","","Distal epiphysis fused"
9,"Rad_dist","Barcin Bone 2320",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis fused"
18,"Uln","Barcin Bone 2321",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","ulna","",""
12,"Fem_dist","Barcin Bone 2322",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","femur","","Distal epiphysis unfused"
15,"Pel","Barcin Bone 2323",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","innominate bone","",""
15,"Pel","Barcin Bone 2324",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","innominate bone","",""
15,"Pel","Barcin Bone 2325",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","innominate bone","",""
4,"Mtc_prox","Barcin Bone 2339",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
4,"Mtc_prox","Barcin Bone 2340",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
6,"Mtt_prox","Barcin Bone 2341",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
7,"PH1","Barcin Bone 2342",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 2343",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 2344",19,7,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2345",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
8,"PH2","Barcin Bone 2346",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2347",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
10,"Rad_prox","Barcin Bone 2427",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","Proximal epiphysis unfused",""
14,"Hum","Barcin Bone 2428",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","","Distal epiphysis unfused"
14,"Hum","Barcin Bone 2429",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","Proximal epiphysis unfused",""
9,"Rad_dist","Barcin Bone 2430",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis fused"
10,"Rad_prox","Barcin Bone 2431",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","",""
5,"Mtt_dist","Barcin Bone 2432",20,5,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis unfused"
6,"Mtt_prox","Barcin Bone 2433",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
6,"Mtt_prox","Barcin Bone 2434",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
5,"Mtt_dist","Barcin Bone 2435",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis unfused"
6,"Mtt_prox","Barcin Bone 2436",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2437",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
8,"PH2","Barcin Bone 2438",21,8,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2439",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2440",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
1,"Ast","Barcin Bone 2442",22,1,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
6,"Mtt_prox","Barcin Bone 2462",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
6,"Mtt_prox","Barcin Bone 2463",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
6,"Mtt_prox","Barcin Bone 2464",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
10,"Rad_prox","Barcin Bone 2510",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","",""
18,"Uln","Barcin Bone 2511",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","ulna","",""
2,"Cal","Barcin Bone 2512",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","",""
15,"Pel","Barcin Bone 2519",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","innominate bone","",""
7,"PH1","Barcin Bone 2522",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 2523",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
8,"PH2","Barcin Bone 2524",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
6,"Mtt_prox","Barcin Bone 2543",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
8,"PH2","Barcin Bone 2547",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2548",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
18,"Uln","Barcin Bone 2553",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","ulna","",""
5,"Mtt_dist","Barcin Bone 2659",24,5,0,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis fusing"
6,"Mtt_prox","Barcin Bone 2660",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
14,"Hum","Barcin Bone 2716",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","","Distal epiphysis fused"
14,"Hum","Barcin Bone 2746",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","",""
7,"PH1","Barcin Bone 2748",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
14,"Hum","Barcin Bone 2769",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","Proximal epiphysis unfused",""
6,"Mtt_prox","Barcin Bone 2775",25,6,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
