"ID","Site","Anatomy","Element","Proximal Fusion","Distal Fusion","Immature","Measure","Measurement_value","Measurement","Reference_value","Dimension","Element_Portion","Specimen_No"
"Barcin Bone 3414","Barcin","proximal phalanx","PH1","Proximal epiphysis unfused","",1,"Bp",23.3,"PH1_Bp",39,7,7,40
"Barcin Bone 3445","Barcin","proximal phalanx","PH1","Proximal epiphysis fused","",0,"Bp",28.2,"PH1_Bp",39,7,7,42
"Barcin Bone 3603","Barcin","proximal phalanx","PH1","Proximal epiphysis unfused","",1,"Bp",24.5,"PH1_Bp",39,7,7,48
"Barcin Bone 3627","Barcin","proximal phalanx","PH1","","",1,"Bp",23.7,"PH1_Bp",39,7,7,49
"Barcin Bone 35","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",31.7,"PH2_Bp",36,8,8,44
"Barcin Bone 90","Barcin","middle phalanx","PH2","Proximal epiphysis unfused","",1,"Bp",25,"PH2_Bp",36,8,8,66
"Barcin Bone 217","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",31,"PH2_Bp",36,8,8,16
"Barcin Bone 310","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",30.3,"PH2_Bp",36,8,8,33
"Barcin Bone 311","Barcin","middle phalanx","PH2","Proximal epiphysis unfused","",1,"Bp",26.9,"PH2_Bp",36,8,8,35
"Barcin Bone 432","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",31.1,"PH2_Bp",36,8,8,54
"Barcin Bone 433","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",30.5,"PH2_Bp",36,8,8,55
"Barcin Bone 671","Barcin","middle phalanx","PH2","","",1,"Bp",23.9,"PH2_Bp",36,8,8,62
"Barcin Bone 672","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",31.5,"PH2_Bp",36,8,8,63
"Barcin Bone 1010","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",30.1,"PH2_Bp",36,8,8,1
"Barcin Bone 1366","Barcin","middle phalanx","PH2","Proximal epiphysis unfused","",1,"Bp",27,"PH2_Bp",36,8,8,5
"Barcin Bone 1533","Barcin","middle phalanx","PH2","","",1,"Bp",31.6,"PH2_Bp",36,8,8,7
"Barcin Bone 1536","Barcin","middle phalanx","PH2","","",1,"Bp",36.6,"PH2_Bp",36,8,8,8
"Barcin Bone 2438","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",32.5,"PH2_Bp",36,8,8,21
"Barcin Bone 2863","Barcin","middle phalanx","PH2","Proximal epiphysis unfused","",1,"Bp",20.6,"PH2_Bp",36,8,8,28
"Barcin Bone 2953","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",34.8,"PH2_Bp",36,8,8,31
"Barcin Bone 3107","Barcin","middle phalanx","PH2","Proximal epiphysis unfused","",1,"Bp",24.9,"PH2_Bp",36,8,8,34
"Barcin Bone 3237","Barcin","middle phalanx","PH2","Proximal epiphysis unfused","",1,"Bp",24,"PH2_Bp",36,8,8,36
"Barcin Bone 3499","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",31,"PH2_Bp",36,8,8,43
"Barcin Bone 3629","Barcin","middle phalanx","PH2","","",1,"Bp",22.2,"PH2_Bp",36,8,8,50
"Barcin Bone 3651","Barcin","middle phalanx","PH2","Proximal epiphysis fused","",0,"Bp",37.2,"PH2_Bp",36,8,8,52
"Barcin Bone 1783","Barcin","calcaneus","Cal","Proximal epiphysis unfused","",1,"GB",51,"Cal_GB",46,2,2,13
"Barcin Bone 3442","Barcin","calcaneus","Cal","Proximal epiphysis unfused","",1,"GB",47,"Cal_GB",46,2,2,41
"Barcin Bone 3567","Barcin","calcaneus","Cal","","",1,"GB",38.3,"Cal_GB",46,2,2,47
"Barcin Bone 3646","Barcin","calcaneus","Cal","Proximal epiphysis fused","",0,"GB",47.9,"Cal_GB",46,2,2,51
